avenue,대로;수단;방법
mint,(화폐를) 주조하다
monarch,군주
mummify,미라로 만들다
onset,시작;발발
onward,앞으로;나아가서
oppressive,압제적인
outset,착수;시초
pave the way,터를 닦다
reap,수확하다;보답받다
regime,정권;체제
retaliate,보복하다
rebolt,반란
seize,붙잡다;빼앗다
siege,포위;공성
splendor,화려함
take root,뿌리내리다
treaty,계약;조약
unearth,발굴하다
uprising,반란;폭동
assorted,다채로운
assortment,모듬
becoming on,~에 잘 어울리는
bid,입찰하다;입찰
billboard,광고판
brochure,소책자;안내책자
cash prize,상금
choosy,까다로운
clearance sale,재고정리판매
come along,함께 가다;우연히 찾아오다
extravagance,사치;낭비
extravagant,사치스러운;낭비하는
fabric,직물;구조
fabulous,아주 멋진
flat rate,균일가
flea market,벼룩시장
gift certificate,상품권
giveaway,견본;상품
gratitude,감사
hardware store,철물점
inventory,재고품;재고목록
leather,가죽;가죽제품
outrageous,터무니없는;(가격이) 엄청난
pay the difference,차액을 지불하다
pricey,값비싼
retail store,소매점
shopping district,상점가
throw in,~을 덤으로 주다;~을 던져넣다
voucher,상품권;할인권
abduct,유괴하다
arbitrary,임의의;자의적인
arson,방화
attest,증명하다;입증하다
capital punishment,사형
come clean,자백하다
custodian,후견인;보호자
custody,보호;감독;구류
discrepancy,불일치;모순
drug trafficking,마약밀매
empower,~에게 권한을 부여하다
fugitive,도망자
get away with,벌을 교묘히 모면하다
I beg to differ,실례지만 제 의견은 다릅니다
illegal substances,불법약물
imperative,필수적인
in broad daylight,대낮에
indict,기소하다
inexcusable,용서할 수 없는
inmate,재소자;수감자
judicial authorities,사법당국
lenient,너그러운;관대한
litigation,소송;기소
loophole,(법률 등의) 허점
make allowances for,~을 참작하다
mediate,중재하다;조정하다
mug,습격하다
on death row,사형선고를 받은
outlaw,비합법화하다;금지하다
overrule,무효화하다;기각하다
penalize,벌주다;불리하게 하다
petition,청원하다;탄원하다
plaintiff,(민사소송의) 원고
put and end to,~을 없애다;~을 끝내다
reversal,번복;취소
scam,사기
strangle,교살하다
sue,고소하다
testify,증언하다
testimony,증언
turn oneself in,자수하다
under the guise of,~을 가장하여;~을 구실로
abstrain from,~을 삼가다;~을 끊다
Achilles' heel,아킬레스건
adversary,적수;상대
anniversary,기념일
be in one's shoes,~의 입장에 처하다
boo,야유하다
botanical garden,식물원
bowling alley,볼링장
bruise,멍;타박상
camaraderie,우정;동지애
cave in,항복하다;굴복하다
close game,접전
count me in,나도 끼워줘
cramp,경련;쥐
crush one's hopes,~을 좌절시키다
daredevil,무모하게 덤비는 사람;무모한 사람
daring,용감한;대담한
don't sweat it,괜찮아
earnest,진지한;열심인
excursion,소풍
fanatic,광신자;열광적인
feat,위업
firecracker,폭죽
flip one's lid,자제심을 잃다
get worked up,흥분하다;소동을 부리다
glued to one's seat,매우 흥미있어 하는
go cold turkey,나쁜 습관을 갑자기 완전히 끊다
have second thoughts,재고하다;다시 생각하다
hit the jackpot,대성공하다
in a split second,눈 깜짝할 사이에
invigorate,기운나게 하다;격려하다
lame excuse,서투른 변명
lift weights,역기를 들다
make a long face,시무룩한 표정을 짓다
miss the mark,목적을 달성하지 못하다;빗맞다
motor skill,운동기능
nudge,슬쩍 찌르다
odds,승산;가능성
referee,심판;신원 보증인
rule of thumb,주먹구구
semifinal,준결승전
sprain,삐다;접지르다
strenuous,열심인;격렬한;힘드는
take a rain check,다음 기회로 미루다
take a stab at,~을 시도해 보다
take the cake,뛰어나다;이기다
take the plunge,결단을 내리다;모험하다;결혼하다
tough-and-go,아슬아슬한
unyielding,굳은;단호한
venue,현장;개최지
yawn,하품하다
you bet,물론이지
zealously,열광적으로
